pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,35826840,0x9191f1041f00b1a5a0fee615e15a03f254ed236b6638ef60fba1a2e1fb5320e0,1667767797,3,0x9191f1041f00b1a5a0fee615e15a03f254ed236b6638ef60fba1a2e1fb5320e0,sender,recipient,-0.49475853853702934,20.0,501216846594138710849899793901,0,40021388516542.32,36895
mypool,35826879,0xbd9a1c4ef8ebb5611a70c01c4aad637d1bdd687bbe56369e27bde007b6371b89,1667767809,3,0xbd9a1c4ef8ebb5611a70c01c4aad637d1bdd687bbe56369e27bde007b6371b89,sender,recipient,-0.4947123807392086,20.0,501240227843065528794684579376,0,40025122516624.516,36896
mypool,35826930,0x88da41b7e3d239c27eb2801bed66306887384e338f3800a4f9d4bf60f86c88f3,1667767825,3,0x88da41b7e3d239c27eb2801bed66306887384e338f3800a4f9d4bf60f86c88f3,sender,recipient,-0.4946662294004262,20.0,501263609091992346739469364851,0,40028856690889.9,36897
mypool,35826969,0x702d40b8a91b0f9ee591987948df7fa13edf517e75c0ad3180542512442afba9,1667767836,15,0x702d40b8a91b0f9ee591987948df7fa13edf517e75c0ad3180542512442afba9,sender,recipient,-0.4946200845194771,20.0,501286990340919164684254150326,0,40032591039338.47,36898
mypool,35827006,0x22b3c8a7ee206aab983786c6829c21f06e03afca7ca3ffa2721f45198754aff4,1667767847,3,0x22b3c8a7ee206aab983786c6829c21f06e03afca7ca3ffa2721f45198754aff4,sender,recipient,-0.49457394609515654,20.0,501310371589845982629038935801,0,40036325561970.23,36899
mypool,35827036,0x561c2095f979c7b2a94824bbccbd686ed9264005cfe69e7626b6d82ed0bdeb6f,1667767855,3,0x561c2095f979c7b2a94824bbccbd686ed9264005cfe69e7626b6d82ed0bdeb6f,sender,recipient,-0.49452781412626,20.0,501333752838772800573823721276,0,40040060258785.18,36900
mypool,35827064,0x900ade43bb95a838d32f9fa0160413a8755b58ba30e28ab3057f4e71474bfe0b,1667767864,3,0x900ade43bb95a838d32f9fa0160413a8755b58ba30e28ab3057f4e71474bfe0b,sender,recipient,-0.4944816886115833,20.0,501357134087699618518608506751,0,40043795129783.32,36901
mypool,35827091,0x50903d2f402155fea34145ac57f21cd2d331ba94bac9d607ca88514d30ae424a,1667767872,3,0x50903d2f402155fea34145ac57f21cd2d331ba94bac9d607ca88514d30ae424a,sender,recipient,-0.49443556954992246,20.0,501380515336626436463393292226,0,40047530174964.66,36902
mypool,35827120,0x6b83574226c86b6fbe5ec294d0c3a359f5b0fd024249eefe8094ec29dfe868ee,1667767880,3,0x6b83574226c86b6fbe5ec294d0c3a359f5b0fd024249eefe8094ec29dfe868ee,sender,recipient,-0.4943894569400738,20.0,501403896585553254408178077701,0,40051265394329.18,36903
mypool,35827150,0x11b7048af66c2d8e3e64f21661d1ea036a8f1302651fa0987fecfe31b897e51c,1667767889,21,0x11b7048af66c2d8e3e64f21661d1ea036a8f1302651fa0987fecfe31b897e51c,sender,recipient,-0.49434335078083397,20.0,501427277834480072352962863176,0,40055000787876.88,36904
mypool,35827175,0x7c2a737072acead6764e73c6a67244d2b1e436ce9fa5ca52337c3e90feb9833d,1667767897,3,0x7c2a737072acead6764e73c6a67244d2b1e436ce9fa5ca52337c3e90feb9833d,sender,recipient,-0.4942972510709999,20.0,501450659083406890297747648651,0,40058736355607.79,36905
mypool,35827221,0x56022c4193f85fef6671f991aeaa47f5e8bf7634869994c006d33ef6ba4132b6,1667767905,3,0x56022c4193f85fef6671f991aeaa47f5e8bf7634869994c006d33ef6ba4132b6,sender,recipient,-0.4942511578093688,20.0,501474040332333708242532434126,0,40062472097521.875,36906
mypool,35827243,0x85da0868e5dd6cfa6226ec05a0f876749f27dd3fa5f5ed89cfa602c711c52e5a,1667767913,3,0x85da0868e5dd6cfa6226ec05a0f876749f27dd3fa5f5ed89cfa602c711c52e5a,sender,recipient,-0.49420507099473804,20.0,501497421581260526187317219601,0,40066208013619.16,36907
mypool,35827333,0x3f43952923cde7b46f2f580b49550b003d1b001dd93e1b84a6a6beaaf4df6543,1667767940,3,0x3f43952923cde7b46f2f580b49550b003d1b001dd93e1b84a6a6beaaf4df6543,sender,recipient,-0.4941589906259054,20.0,501520802830187344132102005076,0,40069944103899.625,36908
mypool,35827591,0xac17f7e942e3b781e39e1fdcb7058c4cd37e39f61f2b8321983639bb90a97a11,1667768023,3,0xac17f7e942e3b781e39e1fdcb7058c4cd37e39f61f2b8321983639bb90a97a11,sender,recipient,-6.4508458850425825,261.255,501826226239606135240339461540,0,40118763715778.97,36920
mypool,35827645,0x898c31415bbf0869e22ecc1fdc42d091ccf9eca367708711f2debee696644498,1667768043,3,0x898c31415bbf0869e22ecc1fdc42d091ccf9eca367708711f2debee696644498,sender,recipient,-0.14805832541911543,6.0,501833240614284180623774897182,0,40119885259422.27,36920
mypool,35835019,0x8419c7f4795d43b939de79b43b15f37cc191505bc899e2f1879ec8e875839bf9,1667770533,3,0x8419c7f4795d43b939de79b43b15f37cc191505bc899e2f1879ec8e875839bf9,sender,recipient,-0.9869497389509007,40.0,501880003112137816513344468132,0,40127362617665.62,36922
